iso,country,subject_descriptor,units,scale,2015,2016,2017,2018,2019,2020,2021,2022,2023,estimates_after
AFG,Afghanistan,"Gross domestic product, constant prices",Percent change,,0.988,2.164,2.647,1.189,3.912,-2.351,n/a,n/a,n/a,2019
AFG,Afghanistan,"Gross domestic product, current prices",U.S. dollars,Billions,20.057,18.02,18.883,18.401,18.876,20.136,n/a,n/a,n/a,2019
AFG,Afghanistan,"Gross domestic product per capita, current prices",U.S. dollars,Units,705.597,617.126,635.789,582.323,586.204,611.268,n/a,n/a,n/a,2019
AFG,Afghanistan,"Inflation, average consumer prices",Percent change,,-0.662,4.384,4.976,0.626,2.302,5.607,n/a,n/a,n/a,2020
AFG,Afghanistan,Unemployment rate,Percent of total labor force,,,,,,,,,,,
AFG,Afghanistan,Population,Persons,Millions,28.425,29.2,29.7,31.6,32.2,32.941,n/a,n/a,n/a,2019
ALB,Albania,"Gross domestic product, constant prices",Percent change,,2.219,3.315,3.802,4.071,2.174,-3.311,5.3,4.5,4.1,2020
ALB,Albania,"Gross domestic product, current prices",U.S. dollars,Billions,11.389,11.862,13.053,15.147,15.283,14.828,16.77,18.012,18.931,2020
ALB,Albania,"Gross domestic product per capita, current prices",U.S. dollars,Units,"3,953.61","4,124.41","4,525.89","5,254.46","5,305.07","5,152.56","5,837.18","6,284.03","6,622.85",2020
ALB,Albania,"Inflation, average consumer prices",Percent change,,1.868,1.287,1.986,2.008,1.438,1.603,1.854,2.3,2.5,2020
ALB,Albania,Unemployment rate,Percent of total labor force,,17.1,15.2,13.7,12.3,11.47,11.675,12,12.5,12.5,2020
ALB,Albania,Population,Persons,Millions,2.881,2.876,2.884,2.883,2.881,2.878,2.873,2.866,2.858,2020
DZA,Algeria,"Gross domestic product, constant prices",Percent change,,3.7,3.2,1.4,1.2,0.8,-4.9,3.41,1.947,1.706,2019
DZA,Algeria,"Gross domestic product, current prices",U.S. dollars,Billions,165.979,160.034,170.207,175.367,171.07,147.6,163.812,168.195,172.094,2019
DZA,Algeria,"Gross domestic product per capita, current prices",U.S. dollars,Units,"4,153.32","3,918.94","4,079.65","4,118.74","3,939.54","3,337.32","3,638.33","3,672.46","3,696.74",2019
DZA,Algeria,"Inflation, average consumer prices",Percent change,,4.784,6.398,5.591,4.27,1.952,2.415,6.471,7.571,6.322,2020
DZA,Algeria,Unemployment rate,Percent of total labor force,,11.214,10.498,11.709,11.731,11.383,13.956,14.071,14.733,15.541,2019
DZA,Algeria,Population,Persons,Millions,39.963,40.836,41.721,42.578,43.424,44.227,45.024,45.799,46.553,2019
AND,Andorra,"Gross domestic product, constant prices",Percent change,,1.434,3.71,0.346,1.589,2.017,-11.969,5.5,4.8,2.7,2020
AND,Andorra,"Gross domestic product, current prices",U.S. dollars,Billions,2.789,2.895,2.993,3.217,3.155,2.858,3.213,3.46,3.659,2020
AND,Andorra,"Gross domestic product per capita, current prices",U.S. dollars,Units,"38,877.49","39,595.32","40,017.74","42,229.90","40,688.49","36,630.55","40,417.27","42,713.08","44,321.89",2020
AND,Andorra,"Inflation, average consumer prices",Percent change,,-1.133,-0.423,2.59,1.284,0.742,0.257,1.698,1.493,1.319,2020
AND,Andorra,Unemployment rate,Percent of total labor force,,3.575,3.025,1.725,1.525,1.775,2.85,3.1,2.2,2,2020
AND,Andorra,Population,Persons,Millions,0.072,0.073,0.075,0.076,0.078,0.078,0.079,0.081,0.083,2020
AGO,Angola,"Gross domestic product, constant prices",Percent change,,0.944,-2.58,-0.15,-2.045,-0.535,-5.385,-0.655,2.364,3.328,2020
AGO,Angola,"Gross domestic product, current prices",U.S. dollars,Billions,116.194,101.124,122.022,101.353,84.516,58.376,70.339,74.953,79.304,2020
AGO,Angola,"Gross domestic product per capita, current prices",U.S. dollars,Units,"4,354.92","3,676.83","4,300.10","3,465.06","2,805.26","1,881.20","2,200.68","2,276.75","2,338.75",2017
AGO,Angola,"Inflation, average consumer prices",Percent change,,9.159,30.694,29.844,19.629,17.079,22.277,24.387,14.871,9.896,2020
AGO,Angola,Unemployment rate,Percent of total labor force,,,,,,,,,,,
AGO,Angola,Population,Persons,Millions,26.681,27.503,28.377,29.25,30.128,31.031,31.962,32.921,33.909,2017
ATG,Antigua and Barbuda,"Gross domestic product, constant prices",Percent change,,3.824,5.498,3.144,6.95,4.747,-20.031,0.965,7.019,5.583,2019
ATG,Antigua and Barbuda,"Gross domestic product, current prices",U.S. dollars,Billions,1.337,1.437,1.468,1.605,1.687,1.37,1.405,1.534,1.652,2019
ATG,Antigua and Barbuda,"Gross domestic product per capita, current prices",U.S. dollars,Units,"14,696.89","15,556.01","15,655.23","16,860.96","17,451.55","13,967.33","14,117.84","15,196.34","16,137.47",2011
ATG,Antigua and Barbuda,"Inflation, average consumer prices",Percent change,,0.969,-0.489,2.432,1.211,1.431,1.058,1.584,2.043,2.009,2020
ATG,Antigua and Barbuda,Unemployment rate,Percent of total labor force,,,,,,,,,,,
ATG,Antigua and Barbuda,Population,Persons,Millions,0.091,0.092,0.094,0.095,0.097,0.098,0.1,0.101,0.102,2011
ARG,Argentina,"Gross domestic product, constant prices",Percent change,,2.731,-2.08,2.819,-2.565,-2.088,-9.905,7.5,2.465,2,2020
ARG,Argentina,"Gross domestic product, current prices",U.S. dollars,Billions,642.464,556.774,643.861,524.431,451.815,389.064,455.172,483.765,476.485,2020
ARG,Argentina,"Gross domestic product per capita, current prices",U.S. dollars,Units,"14,895.32","12,772.87","14,618.33","11,786.43","10,054.02","8,571.94","9,929.15","10,448.39","10,189.26",2019
ARG,Argentina,"Inflation, average consumer prices",Percent change,,n/a,n/a,25.675,34.277,53.548,42.015,n/a,n/a,n/a,2020
ARG,Argentina,Unemployment rate,Percent of total labor force,,6.533,8.467,8.35,9.2,9.825,11.55,9.985,9.21,9.197,2020
ARG,Argentina,Population,Persons,Millions,43.132,43.59,44.045,44.495,44.939,45.388,45.842,46.3,46.763,2019
