canadian_and_foreign_direct_investment,countries_or_regions,2015,2016,2017,2018,2019,2020,series
Canadian direct investment abroad - total book value,Africa,4402.0,6532.0,8954.0,9770.0,10763.0,11607.0,FDI IIC
Canadian direct investment abroad - total book value,Albania,0.0,504.0,638.0,837.0,811.0,798.0,FDI IIC
Canadian direct investment abroad - total book value,Algeria,16.0,10.0,10.0,-38.0,-16.0,-194.0,FDI IIC
Canadian direct investment abroad - total book value,All countries,1043822.0,1105175.0,1181911.0,1367237.0,1409733.0,1469288.0,FDI IIC
Canadian direct investment abroad - total book value,Angola,-37.0,-37.0,-40.0,-38.0,-39.0,-41.0,FDI IIC
Canadian direct investment abroad - total book value,Antigua and Barbuda,0.0,1.0,4.0,0.0,0.0,0.0,FDI IIC
Canadian direct investment abroad - total book value,Argentina,3294.0,3328.0,2126.0,2742.0,1886.0,1403.0,FDI IIC
Canadian direct investment abroad - total book value,Armenia,53.0,-1.0,0.0,0.0,0.0,0.0,FDI IIC
Canadian direct investment abroad - total book value,Aruba,5.0,2.0,12.0,2.0,2.0,3.0,FDI IIC
Canadian direct investment abroad - total book value,Asia/Oceania,73048.0,79474.0,91622.0,107815.0,106577.0,120908.0,FDI IIC
Canadian direct investment abroad - total book value,Australia,25811.0,28637.0,35612.0,40323.0,42407.0,47168.0,FDI IIC
Canadian direct investment abroad - total book value,Austria,1254.0,2115.0,2805.0,2618.0,5601.0,6059.0,FDI IIC
Canadian direct investment abroad - total book value,Bahamas,19637.0,22656.0,24132.0,26545.0,24723.0,20198.0,FDI IIC
Canadian direct investment abroad - total book value,Bahrain,0.0,0.0,0.0,0.0,0.0,0.0,FDI IIC
Canadian direct investment abroad - total book value,Bangladesh,0.0,0.0,0.0,0.0,0.0,0.0,FDI IIC
Canadian direct investment abroad - total book value,Barbados,59675.0,60223.0,53639.0,50441.0,38625.0,42239.0,FDI IIC
Canadian direct investment abroad - total book value,Belgium,868.0,1401.0,1358.0,2314.0,947.0,243.0,FDI IIC
Canadian direct investment abroad - total book value,Belize,149.0,182.0,245.0,265.0,258.0,230.0,FDI IIC
Canadian direct investment abroad - total book value,Benin,0.0,6.0,-1.0,0.0,0.0,0.0,FDI IIC
Canadian direct investment abroad - total book value,Bermuda,43448.0,42508.0,45761.0,60512.0,67032.0,63897.0,FDI IIC
Canadian direct investment abroad - total book value,Bolivia,159.0,138.0,135.0,142.0,155.0,154.0,FDI IIC
Canadian direct investment abroad - total book value,Botswana,449.0,594.0,423.0,192.0,238.0,209.0,FDI IIC
Canadian direct investment abroad - total book value,Brazil,11854.0,12067.0,14524.0,13884.0,15128.0,11130.0,FDI IIC
Canadian direct investment abroad - total book value,British Virgin Islands,7442.0,7304.0,6945.0,12572.0,11790.0,11829.0,FDI IIC
Canadian direct investment abroad - total book value,Brunei Darussalam,0.0,0.0,0.0,0.0,0.0,4.0,FDI IIC
Canadian direct investment abroad - total book value,Bulgaria,9.0,0.0,28.0,106.0,67.0,75.0,FDI IIC
Canadian direct investment abroad - total book value,Burkina Faso,1103.0,1195.0,1728.0,1967.0,1735.0,1712.0,FDI IIC
Canadian direct investment abroad - total book value,Burma,0.0,0.0,0.0,0.0,0.0,0.0,FDI IIC
Canadian direct investment abroad - total book value,Cambodia,58.0,148.0,227.0,383.0,631.0,1021.0,FDI IIC
Canadian direct investment abroad - total book value,Cameroon (Republic of),0.0,0.0,0.0,0.0,0.0,0.0,FDI IIC
Canadian direct investment abroad - total book value,Cayman Islands,39907.0,41054.0,40815.0,39756.0,43821.0,44450.0,FDI IIC
Canadian direct investment abroad - total book value,Central African Republic,180.0,0.0,0.0,68.0,0.0,2.0,FDI IIC
Canadian direct investment abroad - total book value,Chile,15716.0,17629.0,19390.0,24241.0,21616.0,23120.0,FDI IIC
