Principal trading partners,Year,Goods_exp,Goods_imp,Goods_trade,Serv_exp,Serv_imp,Serv_trade,Goods_Services_trade,ISO
Total of all countries,2020,523838,561352,1085190,114611,122333,236944,1322134,World
United States,2020,375861,349324,725185,65794,68065,133859,859044,USA
China,2020,26303,49551,75854,5359,2386,7745,83599,CHN
United Kingdom,2020,21413,9402,30815,5833,7048,12881,43696,GBR
Mexico,2020,6979,16931,23910,1183,2173,3356,27266,MEX
Japan,2020,12614,10011,22625,1262,2131,3393,26018,JPN
Germany,2020,6582,14085,20667,2039,2641,4680,25347,DEU
Switzerland,2020,4897,10269,15166,1626,1657,3283,18449,CHE
South Korea,2020,4839,7518,12357,813,413,1226,13583,KOR
France,2020,3785,4649,8434,2880,2230,5110,13544,FRA
Netherlands,2020,5588,4743,10331,1232,1567,2799,13130,NLD
India,2020,3803,3862,7665,2829,2045,4874,12539,IND
Hong Kong,2020,1949,4150,6099,1394,4453,5847,11946,HKG
Italy,2020,3760,6647,10407,386,813,1199,11606,ITA
Belgium,2020,2798,5385,8183,914,703,1617,9800,BEL
Brazil,2020,2157,5824,7981,746,256,1002,8983,BRA
Taiwan,2020,1847,3398,5245,497,726,1223,6468,TWN
Australia,2020,2162,1948,4110,1070,835,1905,6015,AUS
Singapore,2020,1311,1200,2511,759,2063,2822,5333,SGP
Spain,2020,1428,2906,4334,287,332,619,4953,ESP
Norway,2020,2610,1137,3747,224,556,780,4527,NOR
Saudi Arabia,2020,1626,1611,3237,428,478,906,4143,SAU
Indonesia,2020,1801,1047,2848,189,172,361,3209,IDN
Turkey,2020,1153,1330,2483,142,131,273,2756,TUR
Russian Federation,2020,633,492,1125,236,630,866,1991,RUS
