Trade,Year,Principal_trading_partners,VALUE,iso
Balances,1997,Algeria,-11.0,DZA
Balances,1997,Australia,-85.0,AUS
Balances,1997,Belgium,797.0,BEL
Balances,1997,Brazil,845.0,BRA
Balances,1997,China,438.0,CHN
Balances,1997,European Union excluding the United Kingdom,-4817.0,GBR
Balances,1997,France,-2589.0,FRA
Balances,1997,Germany,-1446.0,DEU
Balances,1997,Hong Kong,-2448.0,HKG
Balances,1997,India,-139.0,IND
Balances,1997,Indonesia,165.0,IDN
Balances,1997,Iraq,-128.0,IRQ
Balances,1997,Italy,-884.0,ITA
Balances,1997,Japan,3215.0,JPN
Balances,1997,Mexico,-2116.0,MEX
Balances,1997,Netherlands,835.0,NLD
Balances,1997,Norway,-1419.0,NOR
Balances,1997,Other European Union countries not elsewhere classified,-1514.0,Other European Union countries not elsewhere classified
Balances,1997,Other countries not elsewhere classified,1838.0,Other countries not elsewhere classified
Balances,1997,Peru,205.0,PER
Balances,1997,Russian Federation,20.0,RUS
Balances,1997,Saudi Arabia,-119.0,SAU
Balances,1997,Singapore,-58.0,SGP
Balances,1997,South Korea,1413.0,South Korea
Balances,1997,Spain,-16.0,ESP
Balances,1997,Switzerland,-520.0,CHE
Balances,1997,Taiwan,-590.0,TWN
Balances,1997,Total of all countries,25191.0,Total of all countries
Balances,1997,Turkey,193.0,TUR
Balances,1997,United Kingdom,-1426.0,GBR
Balances,1997,United States,30731.0,USA
Balances,1998,Algeria,13.0,DZA
Balances,1998,Australia,-132.0,AUS
Balances,1998,Belgium,683.0,BEL
Balances,1998,Brazil,626.0,BRA
Balances,1998,China,19.0,CHN
Balances,1998,European Union excluding the United Kingdom,-5077.0,GBR
Balances,1998,France,-1964.0,FRA
Balances,1998,Germany,-2124.0,DEU
Balances,1998,Hong Kong,-3039.0,HKG
Balances,1998,India,-288.0,IND
Balances,1998,Indonesia,-123.0,IDN
Balances,1998,Iraq,-84.0,IRQ
Balances,1998,Italy,-1157.0,ITA
Balances,1998,Japan,73.0,JPN
Balances,1998,Mexico,-824.0,MEX
Balances,1998,Netherlands,937.0,NLD
Balances,1998,Norway,-683.0,NOR
Balances,1998,Other European Union countries not elsewhere classified,-1411.0,Other European Union countries not elsewhere classified
Balances,1998,Other countries not elsewhere classified,756.0,Other countries not elsewhere classified
Balances,1998,Peru,67.0,PER
Balances,1998,Russian Federation,-158.0,RUS
Balances,1998,Saudi Arabia,-220.0,SAU
Balances,1998,Singapore,-198.0,SGP
Balances,1998,South Korea,-546.0,South Korea
Balances,1998,Spain,-39.0,ESP
Balances,1998,Switzerland,-79.0,CHE
Balances,1998,Taiwan,-1234.0,TWN
Balances,1998,Total of all countries,23498.0,Total of all countries
Balances,1998,Turkey,32.0,TUR
Balances,1998,United Kingdom,-765.0,GBR
Balances,1998,United States,35364.0,USA
Balances,1999,Algeria,-133.0,DZA
Balances,1999,Australia,1.0,AUS
Balances,1999,Belgium,1325.0,BEL
Balances,1999,Brazil,380.0,BRA
Balances,1999,China,-249.0,CHN
Balances,1999,European Union excluding the United Kingdom,-6312.0,GBR
Balances,1999,France,-2344.0,FRA
Balances,1999,Germany,-3089.0,DEU
Balances,1999,Hong Kong,-3637.0,HKG
Balances,1999,India,-322.0,IND
Balances,1999,Indonesia,-42.0,IDN
Balances,1999,Iraq,-191.0,IRQ
Balances,1999,Italy,-1324.0,ITA
Balances,1999,Japan,-468.0,JPN
Balances,1999,Mexico,-479.0,MEX
Balances,1999,Netherlands,488.0,NLD
Balances,1999,Norway,-1773.0,NOR
Balances,1999,Other European Union countries not elsewhere classified,-1382.0,Other European Union countries not elsewhere classified
Balances,1999,Other countries not elsewhere classified,84.0,Other countries not elsewhere classified
Balances,1999,Peru,83.0,PER
Balances,1999,Russian Federation,-215.0,RUS
Balances,1999,Saudi Arabia,-105.0,SAU
Balances,1999,Singapore,-257.0,SGP
Balances,1999,South Korea,-123.0,South Korea
Balances,1999,Spain,16.0,ESP
Balances,1999,Switzerland,-773.0,CHE
Balances,1999,Taiwan,-1538.0,TWN
Balances,1999,Total of all countries,41517.0,Total of all countries
Balances,1999,Turkey,47.0,TUR
Balances,1999,United Kingdom,-1666.0,GBR
Balances,1999,United States,59206.0,USA
Balances,2000,Algeria,-630.0,DZA
Balances,2000,Australia,142.0,AUS
Balances,2000,Belgium,1710.0,BEL
Balances,2000,Brazil,246.0,BRA
Balances,2000,China,-98.0,CHN
Balances,2000,European Union excluding the United Kingdom,-4332.0,GBR
Balances,2000,France,-1316.0,FRA
Balances,2000,Germany,-2811.0,DEU
Balances,2000,Hong Kong,-3511.0,HKG
Balances,2000,India,-404.0,IND
Balances,2000,Indonesia,102.0,IDN
Balances,2000,Iraq,-607.0,IRQ
Balances,2000,Italy,-1105.0,ITA
Balances,2000,Japan,-430.0,JPN
Balances,2000,Mexico,-1666.0,MEX
Balances,2000,Netherlands,417.0,NLD
Balances,2000,Norway,-3122.0,NOR
Balances,2000,Other European Union countries not elsewhere classified,-1246.0,Other European Union countries not elsewhere classified
Balances,2000,Other countries not elsewhere classified,-1770.0,Other countries not elsewhere classified
Balances,2000,Peru,101.0,PER
Balances,2000,Russian Federation,-126.0,RUS
Balances,2000,Saudi Arabia,-534.0,SAU
Balances,2000,Singapore,-551.0,SGP
Balances,2000,South Korea,-870.0,South Korea
Balances,2000,Spain,19.0,ESP
Balances,2000,Switzerland,-949.0,CHE
Balances,2000,Taiwan,-1626.0,TWN
Balances,2000,Total of all countries,66410.0,Total of all countries
Balances,2000,Turkey,55.0,TUR
Balances,2000,United Kingdom,-5013.0,GBR
Balances,2000,United States,92001.0,USA
Balances,2001,Algeria,-708.0,DZA
Balances,2001,Australia,-244.0,AUS
Balances,2001,Belgium,1157.0,BEL
Balances,2001,Brazil,-52.0,BRA
Balances,2001,China,-247.0,CHN
Balances,2001,European Union excluding the United Kingdom,-6505.0,GBR
Balances,2001,France,-1093.0,FRA
Balances,2001,Germany,-4036.0,DEU
Balances,2001,Hong Kong,-3744.0,HKG
Balances,2001,India,-139.0,IND
Balances,2001,Indonesia,-206.0,IDN
Balances,2001,Iraq,-978.0,IRQ
Balances,2001,Italy,-1419.0,ITA
Balances,2001,Japan,-460.0,JPN
Balances,2001,Mexico,-1179.0,MEX
Balances,2001,Netherlands,419.0,NLD
Balances,2001,Norway,-2350.0,NOR
Balances,2001,Other European Union countries not elsewhere classified,-1831.0,Other European Union countries not elsewhere classified
Balances,2001,Other countries not elsewhere classified,-1124.0,Other countries not elsewhere classified
Balances,2001,Peru,20.0,PER
Balances,2001,Russian Federation,199.0,RUS
Balances,2001,Saudi Arabia,-475.0,SAU
Balances,2001,Singapore,-224.0,SGP
Balances,2001,South Korea,-1031.0,South Korea
Balances,2001,Spain,298.0,ESP
Balances,2001,Switzerland,-1159.0,CHE
Balances,2001,Taiwan,-1503.0,TWN
Balances,2001,Total of all countries,70073.0,Total of all countries
Balances,2001,Turkey,-75.0,TUR
Balances,2001,United Kingdom,-5046.0,GBR
Balances,2001,United States,97301.0,USA
Balances,2002,Algeria,-956.0,DZA
Balances,2002,Australia,-179.0,AUS
Balances,2002,Belgium,261.0,BEL
Balances,2002,Brazil,-646.0,BRA
Balances,2002,China,-2351.0,CHN
Balances,2002,European Union excluding the United Kingdom,-9575.0,GBR
Balances,2002,France,-1488.0,FRA
Balances,2002,Germany,-4301.0,DEU
Balances,2002,Hong Kong,-4409.0,HKG
Balances,2002,India,-322.0,IND
Balances,2002,Indonesia,-135.0,IDN
Balances,2002,Iraq,-1020.0,IRQ
Balances,2002,Italy,-2031.0,ITA
Balances,2002,Japan,-1636.0,JPN
Balances,2002,Mexico,-1402.0,MEX
Balances,2002,Netherlands,616.0,NLD
Balances,2002,Norway,-2587.0,NOR
Balances,2002,Other European Union countries not elsewhere classified,-2967.0,Other European Union countries not elsewhere classified
Balances,2002,Other countries not elsewhere classified,-1454.0,Other countries not elsewhere classified
Balances,2002,Peru,-54.0,PER
Balances,2002,Russian Federation,108.0,RUS
