Year,Principal_trading_partners,iso,Series,Value
1997,Algeria,DZA,"G_S, Balances",-11.0
1997,Algeria,DZA,"Goods, Balances",-11.0
1997,Algeria,DZA,"Services, Balances",0.0
1997,Australia,AUS,"G_S, Balances",-71.0
1997,Australia,AUS,"Goods, Balances",-85.0
1997,Australia,AUS,"Services, Balances",14.0
1997,Belgium,BEL,"G_S, Balances",829.0
1997,Belgium,BEL,"Goods, Balances",797.0
1997,Belgium,BEL,"Services, Balances",32.0
1997,Brazil,BRA,"G_S, Balances",1110.0
1997,Brazil,BRA,"Goods, Balances",845.0
1997,Brazil,BRA,"Services, Balances",265.0
1997,China,CHN,"G_S, Balances",573.0
1997,China,CHN,"Goods, Balances",438.0
1997,China,CHN,"Services, Balances",135.0
1997,European Union excluding the United Kingdom,GBR,"G_S, Balances",-5051.0
1997,European Union excluding the United Kingdom,GBR,"Goods, Balances",-4817.0
1997,European Union excluding the United Kingdom,GBR,"Services, Balances",-234.0
1997,France,FRA,"G_S, Balances",-2813.0
1997,France,FRA,"Goods, Balances",-2589.0
1997,France,FRA,"Services, Balances",-224.0
1997,Germany,DEU,"G_S, Balances",-1145.0
1997,Germany,DEU,"Goods, Balances",-1446.0
1997,Germany,DEU,"Services, Balances",301.0
1997,Hong Kong,HKG,"G_S, Balances",-2587.0
1997,Hong Kong,HKG,"Goods, Balances",-2448.0
1997,Hong Kong,HKG,"Services, Balances",-139.0
1997,India,IND,"G_S, Balances",-94.0
1997,India,IND,"Goods, Balances",-139.0
1997,India,IND,"Services, Balances",45.0
1997,Indonesia,IDN,"G_S, Balances",275.0
1997,Indonesia,IDN,"Goods, Balances",165.0
1997,Indonesia,IDN,"Services, Balances",110.0
1997,Iraq,IRQ,"G_S, Balances",-128.0
1997,Iraq,IRQ,"Goods, Balances",-128.0
1997,Iraq,IRQ,"Services, Balances",0.0
1997,Italy,ITA,"G_S, Balances",-989.0
1997,Italy,ITA,"Goods, Balances",-884.0
1997,Italy,ITA,"Services, Balances",-105.0
1997,Japan,JPN,"G_S, Balances",3597.0
1997,Japan,JPN,"Goods, Balances",3215.0
1997,Japan,JPN,"Services, Balances",382.0
1997,Mexico,MEX,"G_S, Balances",-2519.0
1997,Mexico,MEX,"Goods, Balances",-2116.0
1997,Mexico,MEX,"Services, Balances",-403.0
1997,Netherlands,NLD,"G_S, Balances",691.0
1997,Netherlands,NLD,"Goods, Balances",835.0
1997,Netherlands,NLD,"Services, Balances",-144.0
1997,Norway,NOR,"G_S, Balances",-1675.0
1997,Norway,NOR,"Goods, Balances",-1419.0
1997,Norway,NOR,"Services, Balances",-256.0
1997,Other European Union countries not elsewhere classified,Other European Union countries not elsewhere classified,"G_S, Balances",-1595.0
1997,Other European Union countries not elsewhere classified,Other European Union countries not elsewhere classified,"Goods, Balances",-1514.0
1997,Other European Union countries not elsewhere classified,Other European Union countries not elsewhere classified,"Services, Balances",-81.0
1997,Other countries not elsewhere classified,Other countries not elsewhere classified,"G_S, Balances",2395.0
1997,Other countries not elsewhere classified,Other countries not elsewhere classified,"Goods, Balances",1838.0
1997,Other countries not elsewhere classified,Other countries not elsewhere classified,"Services, Balances",557.0
1997,Peru,PER,"G_S, Balances",205.0
1997,Peru,PER,"Goods, Balances",205.0
1997,Peru,PER,"Services, Balances",0.0
1997,Russian Federation,RUS,"G_S, Balances",-18.0
1997,Russian Federation,RUS,"Goods, Balances",20.0
1997,Russian Federation,RUS,"Services, Balances",-38.0
1997,Saudi Arabia,SAU,"G_S, Balances",-96.0
1997,Saudi Arabia,SAU,"Goods, Balances",-119.0
1997,Saudi Arabia,SAU,"Services, Balances",23.0
1997,Singapore,SGP,"G_S, Balances",-149.0
1997,Singapore,SGP,"Goods, Balances",-58.0
1997,Singapore,SGP,"Services, Balances",-91.0
1997,South Korea,South Korea,"G_S, Balances",1734.0
1997,South Korea,South Korea,"Goods, Balances",1413.0
