Trade,Year,Principal_trading_partners,VALUE,iso
Balances,1997,Australia,14.0,AUS
Balances,1997,Belgium,32.0,BEL
Balances,1997,Brazil,265.0,BRA
Balances,1997,China,135.0,CHN
Balances,1997,European Union excluding the United Kingdom,-234.0,GBR
Balances,1997,France,-224.0,FRA
Balances,1997,Germany,301.0,DEU
Balances,1997,Hong Kong,-139.0,HKG
Balances,1997,India,45.0,IND
Balances,1997,Indonesia,110.0,IDN
Balances,1997,Italy,-105.0,ITA
Balances,1997,Japan,382.0,JPN
Balances,1997,Mexico,-403.0,MEX
Balances,1997,Netherlands,-144.0,NLD
Balances,1997,Norway,-256.0,NOR
Balances,1997,Other European Union countries not elsewhere classified,-81.0,Other European Union countries not elsewhere classified
Balances,1997,Other countries not elsewhere classified,557.0,Other countries not elsewhere classified
Balances,1997,Russian Federation,-38.0,RUS
Balances,1997,Saudi Arabia,23.0,SAU
Balances,1997,Singapore,-91.0,SGP
Balances,1997,South Korea,321.0,South Korea
Balances,1997,Spain,-15.0,ESP
Balances,1997,Switzerland,-11.0,CHE
Balances,1997,Taiwan,350.0,TWN
Balances,1997,Total of all countries,-7699.0,Total of all countries
Balances,1997,Turkey,3.0,TUR
Balances,1997,United Kingdom,-1195.0,GBR
Balances,1997,United States,-7533.0,USA
Balances,1998,Australia,30.0,AUS
Balances,1998,Belgium,3.0,BEL
Balances,1998,Brazil,250.0,BRA
Balances,1998,China,139.0,CHN
Balances,1998,European Union excluding the United Kingdom,-170.0,GBR
Balances,1998,France,-205.0,FRA
Balances,1998,Germany,374.0,DEU
Balances,1998,Hong Kong,66.0,HKG
Balances,1998,India,15.0,IND
Balances,1998,Indonesia,151.0,IDN
Balances,1998,Italy,-72.0,ITA
Balances,1998,Japan,208.0,JPN
Balances,1998,Mexico,-357.0,MEX
Balances,1998,Netherlands,-168.0,NLD
Balances,1998,Norway,-152.0,NOR
Balances,1998,Other European Union countries not elsewhere classified,-54.0,Other European Union countries not elsewhere classified
Balances,1998,Other countries not elsewhere classified,930.0,Other countries not elsewhere classified
Balances,1998,Russian Federation,-93.0,RUS
Balances,1998,Saudi Arabia,-15.0,SAU
Balances,1998,Singapore,-219.0,SGP
Balances,1998,South Korea,304.0,South Korea
Balances,1998,Spain,-47.0,ESP
Balances,1998,Switzerland,-6.0,CHE
Balances,1998,Taiwan,263.0,TWN
Balances,1998,Total of all countries,-4899.0,Total of all countries
Balances,1998,Turkey,11.0,TUR
Balances,1998,United Kingdom,-954.0,GBR
Balances,1998,United States,-5302.0,USA
Balances,1999,Australia,51.0,AUS
Balances,1999,Belgium,35.0,BEL
Balances,1999,Brazil,191.0,BRA
Balances,1999,China,257.0,CHN
Balances,1999,European Union excluding the United Kingdom,47.0,GBR
Balances,1999,France,-135.0,FRA
Balances,1999,Germany,422.0,DEU
Balances,1999,Hong Kong,-146.0,HKG
Balances,1999,India,77.0,IND
Balances,1999,Indonesia,126.0,IDN
Balances,1999,Italy,-252.0,ITA
Balances,1999,Japan,-346.0,JPN
Balances,1999,Mexico,-326.0,MEX
Balances,1999,Netherlands,-105.0,NLD
Balances,1999,Norway,-195.0,NOR
Balances,1999,Other European Union countries not elsewhere classified,108.0,Other European Union countries not elsewhere classified
Balances,1999,Other countries not elsewhere classified,835.0,Other countries not elsewhere classified
Balances,1999,Russian Federation,-65.0,RUS
Balances,1999,Saudi Arabia,-31.0,SAU
Balances,1999,Singapore,-299.0,SGP
Balances,1999,South Korea,371.0,South Korea
Balances,1999,Spain,-25.0,ESP
Balances,1999,Switzerland,-113.0,CHE
Balances,1999,Taiwan,304.0,TWN
Balances,1999,Total of all countries,-5158.0,Total of all countries
Balances,1999,Turkey,-5.0,TUR
Balances,1999,United Kingdom,-788.0,GBR
Balances,1999,United States,-5100.0,USA
Balances,2000,Australia,252.0,AUS
Balances,2000,Belgium,9.0,BEL
Balances,2000,Brazil,250.0,BRA
Balances,2000,China,353.0,CHN
Balances,2000,European Union excluding the United Kingdom,100.0,GBR
Balances,2000,France,55.0,FRA
Balances,2000,Germany,398.0,DEU
Balances,2000,Hong Kong,-140.0,HKG
Balances,2000,India,106.0,IND
Balances,2000,Indonesia,123.0,IDN
Balances,2000,Italy,-264.0,ITA
Balances,2000,Japan,-176.0,JPN
Balances,2000,Mexico,-434.0,MEX
Balances,2000,Netherlands,-18.0,NLD
Balances,2000,Norway,-228.0,NOR
Balances,2000,Other European Union countries not elsewhere classified,0.0,Other European Union countries not elsewhere classified
Balances,2000,Other countries not elsewhere classified,485.0,Other countries not elsewhere classified
Balances,2000,Russian Federation,-83.0,RUS
Balances,2000,Saudi Arabia,-54.0,SAU
Balances,2000,Singapore,-154.0,SGP
Balances,2000,South Korea,343.0,South Korea
Balances,2000,Spain,-81.0,ESP
Balances,2000,Switzerland,-110.0,CHE
