Year,Principal_trading_partners,Value,Series
2010,Australia,2186.0,"G_S, Payments"
2010,Australia,1464.0,"Goods, Payments"
2010,Australia,722.0,"Services, Payments"
2010,Belgium,3455.0,"G_S, Payments"
2010,Belgium,2780.0,"Goods, Payments"
2010,Belgium,675.0,"Services, Payments"
2010,Brazil,3138.0,"G_S, Payments"
2010,Brazil,2851.0,"Goods, Payments"
2010,Brazil,287.0,"Services, Payments"
2010,China,28163.0,"G_S, Payments"
2010,China,26391.0,"Goods, Payments"
2010,China,1772.0,"Services, Payments"
2010,European Union excluding the United Kingdom,42534.0,"G_S, Payments"
2010,European Union excluding the United Kingdom,30868.0,"Goods, Payments"
2010,European Union excluding the United Kingdom,11666.0,"Services, Payments"
2010,France,6024.0,"G_S, Payments"
2010,France,3666.0,"Goods, Payments"
2010,France,2358.0,"Services, Payments"
2010,Germany,11322.0,"G_S, Payments"
2010,Germany,9178.0,"Goods, Payments"
2010,Germany,2144.0,"Services, Payments"
2010,Hong Kong,7655.0,"G_S, Payments"
2010,Hong Kong,4556.0,"Goods, Payments"
2010,Hong Kong,3099.0,"Services, Payments"
2010,India,2209.0,"G_S, Payments"
2010,India,1625.0,"Goods, Payments"
2010,India,584.0,"Services, Payments"
2010,Indonesia,810.0,"G_S, Payments"
2010,Indonesia,721.0,"Goods, Payments"
2010,Indonesia,89.0,"Services, Payments"
2010,Italy,4360.0,"G_S, Payments"
2010,Italy,3453.0,"Goods, Payments"
2010,Italy,907.0,"Services, Payments"
2010,Japan,11649.0,"G_S, Payments"
2010,Japan,10061.0,"Goods, Payments"
2010,Japan,1588.0,"Services, Payments"
2010,Mexico,16135.0,"G_S, Payments"
2010,Mexico,13927.0,"Goods, Payments"
2010,Mexico,2208.0,"Services, Payments"
2010,Netherlands,3266.0,"G_S, Payments"
2010,Netherlands,1983.0,"Goods, Payments"
2010,Netherlands,1283.0,"Services, Payments"
2010,Norway,2937.0,"G_S, Payments"
2010,Norway,2591.0,"Goods, Payments"
2010,Norway,346.0,"Services, Payments"
2010,Other European Union countries not elsewhere classified,12483.0,"G_S, Payments"
2010,Other European Union countries not elsewhere classified,8653.0,"Goods, Payments"
2010,Other European Union countries not elsewhere classified,3830.0,"Services, Payments"
2010,Other countries not elsewhere classified,34481.0,"G_S, Payments"
2010,Other countries not elsewhere classified,23806.0,"Goods, Payments"
2010,Other countries not elsewhere classified,10675.0,"Services, Payments"
2010,Russian Federation,1309.0,"G_S, Payments"
2010,Russian Federation,903.0,"Goods, Payments"
2010,Russian Federation,406.0,"Services, Payments"
2010,Saudi Arabia,2275.0,"G_S, Payments"
2010,Saudi Arabia,2000.0,"Goods, Payments"
2010,Saudi Arabia,275.0,"Services, Payments"
2010,Singapore,3275.0,"G_S, Payments"
2010,Singapore,1689.0,"Goods, Payments"
2010,Singapore,1586.0,"Services, Payments"
2010,South Korea,5072.0,"G_S, Payments"
2010,South Korea,4691.0,"Goods, Payments"
2010,South Korea,381.0,"Services, Payments"
2010,Spain,1622.0,"G_S, Payments"
2010,Spain,1152.0,"Goods, Payments"
2010,Spain,470.0,"Services, Payments"
2010,Switzerland,6050.0,"G_S, Payments"
2010,Switzerland,3948.0,"Goods, Payments"
2010,Switzerland,2102.0,"Services, Payments"
2010,Taiwan,2886.0,"G_S, Payments"
2010,Taiwan,2342.0,"Goods, Payments"
2010,Taiwan,544.0,"Services, Payments"
2010,Total of all countries,517154.0,"G_S, Payments"
2010,Total of all countries,414004.0,"Goods, Payments"
2010,Total of all countries,103150.0,"Services, Payments"
2010,Turkey,1919.0,"G_S, Payments"
2010,Turkey,1793.0,"Goods, Payments"
2010,Turkey,126.0,"Services, Payments"
2010,United Kingdom,15157.0,"G_S, Payments"
2010,United Kingdom,9556.0,"Goods, Payments"
2010,United Kingdom,5601.0,"Services, Payments"
2010,United States,319197.0,"G_S, Payments"
2010,United States,260101.0,"Goods, Payments"
2010,United States,59096.0,"Services, Payments"
2011,Australia,2331.0,"G_S, Payments"
2011,Australia,1521.0,"Goods, Payments"
2011,Australia,810.0,"Services, Payments"
2011,Belgium,3333.0,"G_S, Payments"
2011,Belgium,2529.0,"Goods, Payments"
2011,Belgium,804.0,"Services, Payments"
2011,Brazil,3480.0,"G_S, Payments"
2011,Brazil,3210.0,"Goods, Payments"
2011,Brazil,270.0,"Services, Payments"
2011,China,30716.0,"G_S, Payments"
2011,China,28711.0,"Goods, Payments"
2011,China,2005.0,"Services, Payments"
2011,European Union excluding the United Kingdom,48157.0,"G_S, Payments"
2011,European Union excluding the United Kingdom,35301.0,"Goods, Payments"
2011,European Union excluding the United Kingdom,12856.0,"Services, Payments"
2011,France,6575.0,"G_S, Payments"
2011,France,3940.0,"Goods, Payments"
2011,France,2635.0,"Services, Payments"
2011,Germany,13042.0,"G_S, Payments"
2011,Germany,10696.0,"Goods, Payments"
2011,Germany,2346.0,"Services, Payments"
2011,Hong Kong,7920.0,"G_S, Payments"
2011,Hong Kong,4689.0,"Goods, Payments"
2011,Hong Kong,3231.0,"Services, Payments"
2011,India,2757.0,"G_S, Payments"
2011,India,1906.0,"Goods, Payments"
2011,India,851.0,"Services, Payments"
2011,Indonesia,974.0,"G_S, Payments"
2011,Indonesia,864.0,"Goods, Payments"
2011,Indonesia,110.0,"Services, Payments"
2011,Italy,4764.0,"G_S, Payments"
2011,Italy,3850.0,"Goods, Payments"
2011,Italy,914.0,"Services, Payments"
2011,Japan,10881.0,"G_S, Payments"
2011,Japan,9368.0,"Goods, Payments"
2011,Japan,1513.0,"Services, Payments"
2011,Mexico,17596.0,"G_S, Payments"
2011,Mexico,15264.0,"Goods, Payments"
2011,Mexico,2332.0,"Services, Payments"
2011,Netherlands,4341.0,"G_S, Payments"
2011,Netherlands,3044.0,"Goods, Payments"
2011,Netherlands,1297.0,"Services, Payments"
2011,Norway,4115.0,"G_S, Payments"
2011,Norway,3783.0,"Goods, Payments"
2011,Norway,332.0,"Services, Payments"
2011,Other European Union countries not elsewhere classified,14097.0,"G_S, Payments"
2011,Other European Union countries not elsewhere classified,9705.0,"Goods, Payments"
2011,Other European Union countries not elsewhere classified,4392.0,"Services, Payments"
2011,Other countries not elsewhere classified,39495.0,"G_S, Payments"
2011,Other countries not elsewhere classified,28612.0,"Goods, Payments"
2011,Other countries not elsewhere classified,10883.0,"Services, Payments"
2011,Russian Federation,1666.0,"G_S, Payments"
2011,Russian Federation,1104.0,"Goods, Payments"
2011,Russian Federation,562.0,"Services, Payments"
2011,Saudi Arabia,2736.0,"G_S, Payments"
2011,Saudi Arabia,2407.0,"Goods, Payments"
2011,Saudi Arabia,329.0,"Services, Payments"
2011,Singapore,3875.0,"G_S, Payments"
2011,Singapore,2227.0,"Goods, Payments"
2011,Singapore,1648.0,"Services, Payments"
2011,South Korea,5625.0,"G_S, Payments"
2011,South Korea,5226.0,"Goods, Payments"
2011,South Korea,399.0,"Services, Payments"
2011,Spain,2006.0,"G_S, Payments"
2011,Spain,1538.0,"Goods, Payments"
2011,Spain,468.0,"Services, Payments"
2011,Switzerland,5570.0,"G_S, Payments"
2011,Switzerland,3963.0,"Goods, Payments"
2011,Switzerland,1607.0,"Services, Payments"
2011,Taiwan,3298.0,"G_S, Payments"
2011,Taiwan,2743.0,"Goods, Payments"
2011,Taiwan,555.0,"Services, Payments"
2011,Total of all countries,564512.0,"G_S, Payments"
2011,Total of all countries,456395.0,"Goods, Payments"
2011,Total of all countries,108117.0,"Services, Payments"
2011,Turkey,2617.0,"G_S, Payments"
2011,Turkey,2476.0,"Goods, Payments"
2011,Turkey,141.0,"Services, Payments"
2011,United Kingdom,16144.0,"G_S, Payments"
2011,United Kingdom,10558.0,"Goods, Payments"
2011,United Kingdom,5586.0,"Services, Payments"
2011,United States,343613.0,"G_S, Payments"
2011,United States,281512.0,"Goods, Payments"
2011,United States,62101.0,"Services, Payments"
2012,Australia,2811.0,"G_S, Payments"
2012,Australia,1828.0,"Goods, Payments"
2012,Australia,983.0,"Services, Payments"
2012,Belgium,3006.0,"G_S, Payments"
2012,Belgium,2224.0,"Goods, Payments"
2012,Belgium,782.0,"Services, Payments"
2012,Brazil,3773.0,"G_S, Payments"
2012,Brazil,3495.0,"Goods, Payments"
2012,Brazil,278.0,"Services, Payments"
2012,China,33042.0,"G_S, Payments"
2012,China,30953.0,"Goods, Payments"
2012,China,2089.0,"Services, Payments"
